% Model,Rectified_200nm_new_800x400_roc5_deformed.mph
% Version,COMSOL 5.5.0.359
% Date,"May 20 2020, 09:09"
% Table,"Field Enhancement - average E at tip surface - average E at tip surface (abs(nx*Ex+ny*Ey+nz*Ez)/E0, nx*Ex+ny*Ey+nz*Ez/E0)"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez)/E0 (1),(nx*Ex+ny*Ey+nz*Ez)/E0 (1)
8.000000000000001E-7,3.747405725E14,6.886487596868358,6.419745842323854+2.483335723231226i
8.200000000000001E-7,3.656005585365854E14,9.024546705513721,6.922918437804273+5.785966286173151i
8.400000000000001E-7,3.5689578333333325E14,9.847188487695409,5.740365558140567+7.999142935926112i
8.6E-7,3.485958813953488E14,11.060926017758023,4.692768274976744+10.014217720328318i
8.8E-7,3.406732477272727E14,13.016126856525137,3.0692412922338623+12.646846172048784i
9.000000000000001E-7,3.3310273111111106E14,15.303479451864762,0.057305131950618794+15.300987498025226i
9.200000000000001E-7,3.258613673913043E14,17.61025840555478,-4.404710327940533+17.04808484747572i
9.400000000000001E-7,3.189281468085106E14,19.905242650741734,-9.985587655736735+17.216911022042627i
9.600000000000001E-7,3.122838104166666E14,22.005164443623084,-15.947334825462612+15.160143355724218i
9.800000000000001E-7,3.059106714285714E14,23.697023547492297,-21.154941037485557+10.674653527517647i
1.0000000000000002E-6,2.9979245799999994E14,24.8364320876177,-24.47643541998419+4.206843779268368i
1.02E-6,2.9391417450980394E14,25.27445418418911,-25.083211398207933-3.0968307039515626i
1.0400000000000002E-6,2.882619788461538E14,25.017007175743863,-22.990732413608445-9.86150821299782i
1.06E-6,2.828230735849057E14,24.1695409747643,-18.8993893418145-15.065243621664608i
1.08E-6,2.7758560925925922E14,22.859991280116837,-13.770001632261119-18.247027499807626i
1.1E-6,2.725385981818182E14,21.156473174578114,-8.477194613542355-19.383620398678595i
1.12E-6,2.676718375E14,19.15960359996831,-3.7905971014728017-18.780690083748464i
1.14E-6,2.6297584035087716E14,16.995201789967634,-0.2342649576077483-16.99332934607668i
1.1600000000000001E-6,2.58441774137931E14,14.770314831498284,1.945349141263459-14.641185354787591i
1.1800000000000001E-6,2.5406140508474572E14,12.734086417707141,2.618266375436348-12.46124752878539i
1.2E-6,2.4982704833333334E14,12.775385152288878,2.7044150589960023-12.484551714563837i
1.2200000000000002E-6,2.4573152295081962E14,11.442676016054861,3.8642527375562032-10.770186524905176i
1.24E-6,2.417681112903226E14,10.913539423014146,4.106018030852965-10.111534665000582i
1.26E-6,2.3793052222222222E14,10.650620023832625,4.580629330045829-9.615158482193724i
1.28E-6,2.342128578125E14,10.432703249195123,5.114495976893698-9.09290936777608i
1.3E-6,2.306095830769231E14,10.220745962141146,5.626696971061347-8.532387136611694i
1.32E-6,2.2711549848484847E14,10.010981480100996,6.086375639020817-7.948169623670187i
1.34E-6,2.2372571492537312E14,9.806006526391014,6.484881016472327-7.355381115693247i
1.3600000000000001E-6,2.2043563088235294E14,9.608532721470164,6.822921692096508-6.765289095622445i
1.3800000000000001E-6,2.1724091159420288E14,9.420310225886384,7.1048839133824835-6.185493224179497i
1.4000000000000001E-6,2.1413746999999997E14,9.241320842238688,7.335212974349262-5.620862966402005i
1.42E-6,2.1112144929577466E14,9.071235116321255,7.518821026517881-5.074651103275953i
1.4400000000000002E-6,2.0818920694444444E14,8.911628097676722,7.66322374711221-4.548579997891101i
1.46E-6,2.053373E14,8.762091874057015,7.77321678172576-4.043369882430138i
1.4800000000000002E-6,2.025624716216216E14,8.622080673469084,7.853026620761616-3.5591797603401947i
1.5E-6,1.9986163866666666E14,8.490987888322131,7.906352221592845-3.0958058630803587i
1.52E-6,1.972318802631579E14,8.368192590962389,7.936423004957816-2.6528128676093035i
1.54E-6,1.9467042727272728E14,8.253086798035595,7.946058651451685-2.2296210992974643i
1.56E-6,1.9217465256410256E14,8.145090697000962,7.937724630968621-1.8255647576044869i
1.5800000000000001E-6,1.8974206202531644E14,8.043660402612115,7.913581354909818-1.4399309224854424i
1.6E-6,1.8737028625E14,7.948291135552323,7.875526650376361-1.0719857154032055i
1.6200000000000002E-6,1.8505707283950616E14,7.857581838101367,7.824139634301369-0.7226565727658266i
1.64E-6,1.828002792682927E14,7.7712939342609575,7.7613108767448145-0.39107234360057197i
1.6600000000000002E-6,1.8059786626506022E14,7.690008418027568,7.689511119035046-0.07479199456364036i
1.68E-6,1.784478916666667E14,7.613339881953173,7.6098278561244355+0.22688820624661601i
1.7000000000000002E-6,1.7634850470588234E14,7.540937856824029,7.523228565657693+0.5146415574985795i
1.72E-6,1.742979406976744E14,7.472483637180217,7.430575998679566+0.789110971522533i
1.74E-6,1.72294516091954E14,7.407687264745506,7.332641104691659+1.0509095256830197i
1.76E-6,1.7033662386363634E14,7.3462847323513785,7.230114034117226+1.300621324312472i
1.78E-6,1.6842272921348316E14,7.288035419558313,7.123613551791831+1.5388025421883147i
1.8000000000000001E-6,1.6655136555555553E14,7.232719770061846,7.013695142980007+1.7659825662064228i
1.82E-6,1.6472113076923075E14,7.180137194410196,6.900858023579069+1.9826651786358678i
1.8400000000000002E-6,1.6293068369565216E14,7.130104188985743,6.785551236749823+2.1893297469635997i
1.86E-6,1.6117874086021503E14,7.0824526500130105,6.668178975588225+2.3864323963757768i
1.8800000000000002E-6,1.594640734042553E14,7.037028366987036,6.549105251416265+2.574407150992598i
1.9E-6,1.577855042105263E14,6.993689675724365,6.428658001989145+2.753667034712146i
1.9200000000000003E-6,1.561419052083333E14,6.952306254559421,6.307132719700587+2.9246051265812905i
1.94E-6,1.545321948453608E14,6.916695960142744,6.188687093959991+3.0886159276149616i
1.9600000000000003E-6,1.529553357142857E14,6.904418046369491,6.09077773094806+3.251480744065952i
1.98E-6,1.514103323232323E14,6.89258768099393,5.990913829471944+3.4081412310229977i
2.0E-6,1.49896229E14,6.881182066669357,5.889349049347615+3.558783902541392i
